character,statement,line,book
environment,"A neighbourhood on a street called Privet Drive. An owl, sitting on the street sign flies off to reveal a mysterious appearing old man walking through a forest near the street. He stops at the start of the street and takes out a mechanical device and zaps all the light out of the lampposts. He puts away the device and a cat meows. The man, ALBUS DUMBLEDORE, looks down at the cat, which is a tabby and is sitting on a brick ledge.",0,1
dumbledore, I should have known that you would be here...Professor McGonagall.,1,1
environment,"The cat meows, sniffs out and the camera pans back to a wall. The cats shadow is seen progressing into a human. There are footsteps and MINERVA MCGONAGALL is revealed.",2,1
mcgonagall," Good evening, Professor Dumbledore. Are the rumours true, Albus?",3,1
dumbledore," I'm afraid so, Professor. The good, and the bad.",4,1
mcgonagall, And the boy?,5,1
dumbledore, Hagrid is bringing him.,6,1
mcgonagall, Do you think it wise to trust Hagrid with something as important as this?,7,1
albus," Ah, Professor, I would trust Hagrid with my life.",8,1
environment,"There is a motor sound, and the two professors look up to see a flying motorcycle coming down from the air. It skids on the street and halts. A large man, RUBEUS HAGRID, takes off his goggles.",9,1
hagrid," Professor Dumbledore, Sir. Professor McGonagall.",10,1
dumbledore," No problems, I trust, Hagrid?",11,1
hagrid," No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.",12,1
environment,Hagrid hands a baby in a blanket over to Dumbledore.,13,1
mcgonagall," Albus, do you really think its safe, leaving him with these people? I've been watching them all day. They're the worst sort of Muggles imaginable. They really are",14,1
dumbledore, The only family he has.,15,1
environment,They stop outside a house.,16,1
mcgonagall, This boy will be famous. There wont be a child in our world who doesn't know his name.,17,1
dumbledore, Exactly. He's better off growing up away from all that. Until he is ready.,18,1
environment,"Hagrid coughs and sniffles, he is crying. He clears his throat.",19,1
dumbledore," There, there, Hagrid. It's not really good-bye, after all.",20,1
environment,"Hagrid nods. Dumbledore takes a letter and places it on the baby, who is now at the foot of the door. The baby has a visible lightning-bolt shaped scar on his forehead.",21,1
dumbledore, Good luck...Harry Potter.,22,1
environment,The camera pans into the scar and the opening title shows:,23,1
environment,HARRY POTTER AND THE PHILOSOPHER'S STONE,24,1
environment,"Almost ten years after the: DURSLEY's home. The camera pans on a sleeping boy, almost eleven, with a lightning-bolt shaped scar on his forehead.",25,1
environment,"There is a click, and knocking. Outside, a tall woman, PETUNIA DURSLEY, raps the door.",26,1
petunia, Up. Get up. {Knocks} {sighs} Now! {Smacks door of closet which is the boys bedroom},27,1
environment,"A large, tubby boy, DUDLEY DURSLEY, suddenly comes running down the stairs above the closet. He stops half-way down and goes back, jumping on the staircase.",28,1
dudley," Wake up, cousin! We're going to the zoo!",29,1
environment,"Dudley laughs, comes down the stairs and runs for the kitchen. The boy, HARRY POTTER, tries to come out of the closet, but is pushed back in by Dudley.",30,1
environment,"Petunia is in the kitchen, where Dudley has gone.",31,1
petunia," Oh, here he comes, the birthday boy!",32,1
environment,"A larger man, VERNON DURSLEY, is sitting at the kitchen table.",33,1
vernon," Happy birthday, son.",34,1
environment,"Petunia and Dudley giggle together. Harry comes into the kitchen, dressed in rags.",35,1
petunia," Why don't you just cook the breakfast, and try not to burn anything.",36,1
harry," Yes, Aunt Petunia.",37,1
environment,He sets to work.,38,1
petunia, I want everything to be perfect for my Dudley's special day.,39,1
vernon," Hurry up! Bring my coffee, boy!",40,1
harry," Yes, Uncle Vernon.",41,1
environment,"Petunia leads Dudley over to the family room, where there are a vast amount of presents. Dudley stares.",42,1
dudley, How many are there?,43,1
vernon, Thirty-six. Counted 'em myself.,44,1
dudley, Thirty-six?! But last year last year I got thirty-seven!!,45,1
vernon," Yes, well, some of them are quite a bit bigger than last year!",46,1
