character,statement,line,book
environment,"3 INT. HARRY'S BEDROOM - DAY 3 Harry pages through a SCRAPBOOK, stops on a MOVING PHOTO of Ron and Hermione. SQUAWK! Harry jumps. HEDWIG pecks at the LOCK slung through her cage door, then glowers at Harry.",0,2
harry,"I can't, Hedwig. I'm not allowed to use magic outside of school. Besides, if Uncle Vernon -- At the sound of the name, HEDWIG SQUAWKS again, LOUDER. UNCLE VERNON (O.S.) Har-ry Pot-ter!",1,2
harry,"Now you've done it. 4 INT. KITCHEN - DAY 4 While AUNT PETUNIA puts the finishing touches to a PUDDING of WHIPPED CREAM and SUGARED VIOLETS, UNCLE VERNON struggles with DUDLEY'S BOW TIE, all the while glowering at Harry.",2,2
uncle vernon,"I warned you. If you can't control that bloody bird, it'll have to go.",3,2
harry,She's bored. If I could just let her out for an hour or two --,4,2
uncle vernon,"And have you sending secret messages to your freaky little friends? No, sir.",5,2
environment,. 4 HARRY,6,2
harry,But I haven't gotten any messages. From any of my friends. Not one. All summer.,7,2
dudley,Who'd want to be friends with you?,8,2
uncle vernon,"I should think you'd be more grateful. We raise you since you were a baby, give you food off our table, even let you have Dudley's second bedroom... purely out of the goodness of our hearts.",9,2
dudley,"I thought he got the second bedroom because Mum was afraid he'd turn us into dung beetles if you put him back in the cupboard under the stairs. AUNT PETUNIA stops cold, exchanges a dark look with Uncle Vernon, then sees Dudley extending a finger for the pudding.",10,2
aunt petunia,"Not yet, popkin. That's for when the Masons arrive.",11,2
uncle vernon,"Which should be any moment. Now. Let's run through our schedule one more time. Petunia, when the Masons get here, you will be --",12,2
aunt petunia,"In the lounge, waiting to welcome them graciously to our home.",13,2
uncle vernon,Good. And Dudley?,14,2
dudley,I'll be waiting to open the door.,15,2
uncle vernon,Excellent. (turning on Harry) And you?,16,2
environment,. (2) 4 HARRY,17,2
harry,"I'll be in my bedroom, making no noise and pretending I don't exist.",18,2
uncle vernon,"Too right you will. With any luck, this could well be the day I make the biggest deal of my career. DOORBELL RINGS. Instantly, Uncle Vernon shoves Harry out of the kitchen and into the hallway.",19,2
uncle vernon,Upstairs! Hurry!,20,2
environment,"6 INT. HARRY'S BEDROOM - DAY 6 Harry enters, turns, and stops dead a tiny CREATURE with bat-like ears and bulging green eyes is jumping on his bed as if it were a trampoline. This is DOBBY.",21,2
dobby,Harry Potter! Such an honor it is!,22,2
environment,4. 6 HARRY,23,2
harry,What... Who are you?,24,2
dobby,"Dobby, sir. Dobby the house elf.",25,2
harry,"I see. Not to be rude or anything, but this isn't a great time for me to have a house-elf in my bedroom.",26,2
dobby,"Oh, yes, sir, Dobby understands. It's just that, Dobby has come to tell you... it is difficult, sir... Dobby wonders where to begin.",27,2
harry,Why don't you sit down?,28,2
dobby,S-s-sit down? Suddenly Dobby BURSTS INTO TEARS. LOUD TEARS. Harry panics.,29,2
harry,Shhhh! I'm sorry. I didn't mean to offend you or anything --,30,2
dobby,"Offend Dobby! Dobby has heard of your greatness, sir, but never has he been asked to sit down by a wizard, like an equal...",31,2
harry,"You can't have met many decent wizards then. Dobby shakes his head, then without warning, LEAPS off the bed and starts to BANG HIS HEAD FURIOUSLY ON THE FLOOR.",32,2
dobby,"Bad Dobby! Bad Dobby! 7 INT. LIVING ROOM - DAY 7 Uncle Vernon pours champagne for MR. and MRS. MASON. As Dobby's HEAD BANGING sounds from above, all eyes shift to the ceiling. Uncle Vernon chuckles nervously.",33,2
environment,5. 7 UNCLE VERNON,34,2
uncle vernon,Don't mind that. It's just the... cat.,35,2
dudley,Cat? What cat?,36,2
uncle vernon,"Our cat, tiger. 8 INT. HARRY'S BEDROOM - DAY 8 Dobby gets back to his feet, wobbling, eyes spinning dizzily. Harry regards him with a mixture of concern... and wariness.",37,2
harry,Are you... all right?,38,2
dobby,"Dobby had to punish himself, sir. Dobby almost spoke ill of his family, sir.",39,2
harry,Your... family?,40,2
dobby,"The wizard family Dobby serves, sir. Dobby is bound to serve one family forever. If they ever knew Dobby was here... Dobby shudders in fear, then looks up, WHISPERS urgently.",41,2
dobby,But Dobby had to come. Dobby has to protect Harry Potter. To warn him. (in a fierce whisper) Harry Potter must not go back to Hogwarts School of Witchcraft and Wizardry this year.,42,2
harry,Not go back? But... I have to.,43,2
dobby,This is a plot. A plot to make most terrible things happen. If Harry Potter goes back to school he will be in great danger.,44,2
environment,6. 8 HARRY,45,2
harry,What terrible things? Who's plotting them? Dobby makes a funny CHOKING and GAGGING noise.,46,2
harry,Okay! I understand. You can't say -- Too late. Dobby grabs the bedside lamp and starts beating himself about the head and YELPING LOUDLY. 9 INT. LIVING ROOM - DAY 9 Uncle Vernon is in the midst of telling a joke.,47,2
uncle vernon,"They arrive at the ninth hole and -- DOBBY'S YELPS INTERRUPT, ringing out from above.",48,2
mr. mason,"Sounds as if that cat of yours has dragged something in with it, Dursley.",49,2
